species,id,targetid,pop,locality,latitude,longitude,,
HST,As004,3991479,Gulf_of_Carpentaria,Groote Eylandt,-12.5167,136.9,,
HST,As005,3991480,Gulf_of_Carpentaria,Groote Eylandt,-14.3833,136.0133,,
HST,As006,3991481,Gulf_of_Carpentaria,Groote Eylandt,-13.59,136.63667,,
HST,As007,3991482,Gulf_of_Carpentaria,Vanderlin Island,-15.52978,137.71382,,
HST,As008,3991483,Ashmore,Ashmore Reef,-12.1,123,,
HST,As009,3991484,Gulf_of_Carpentaria,NA,-12.94943333,136.7565833,,
HST,As010,3991485,Gulf_of_Carpentaria,Gulf of Carpentaria,-12.94943333,136.7565833,Copied coords of As009,
HST,As011,3991486,Gulf_of_Carpentaria,From Police Boat NT,-12.94943333,136.7565833,Copied coords of As010,
HST,As012,3991487,Gulf_of_Carpentaria,Gwendolyn May Trip451,-12.94943333,136.7565833,Copied coords of As011,
HST,KLS1662,4013403,Broome,"Roebuck MP, Broome",-17.973738,122.160437,,
HST,KLS1665,4013406,Broome,"Roebuck MP, Broome",-18.008065,122.135058,,
HST,KLS1666,4013407,Broome,"Roebuck MP, Broome",-18.01686,122.130313,,
HST,KLS1667,4013408,Broome,"Roebuck MP, Broome",-18.024551,122.127061,,
HST,KLS1668,4013409,Broome,"Roebuck MP, Broome",-18.047905,122.1142,,
HST,KLS1669,4013410,Broome,"Roebuck MP, Broome",-18.052517,122.110522,,
HST,KLS1670,4013411,Broome,"Roebuck MP, Broome",-18.055006,122.110142,,
HST,KLS1671,4013412,Broome,"Roebuck MP, Broome",-18.057317,122.10936,,
HST,KLS1673,4013414,Broome,"Roebuck MP, Broome",-18.073231,122.102824,,
HST,KLS1674,4013415,Broome,"Roebuck MP, Broome",-18.079182,122.101684,,
HST,KLS1675,4013416,Broome,"Roebuck MP, Broome",-18.079442,122.101556,,
HST,KLS1676,4013417,Broome,"Roebuck MP, Broome",-18.090517,122.099814,,
HST,KLS1677,4013418,Broome,"Roebuck MP, Broome",-18.025628,122.031867,,
HST,KLS1678,4013419,Broome,"Roebuck MP, Broome",-18.095795,122.104454,,
HST,KLS1679,4013420,Broome,"Roebuck MP, Broome",-18.091968,122.106056,,
HST,KLS1680,4013421,Broome,"Roebuck MP, Broome",-18.087032,122.107551,,
HST,KLS1681,4013422,Broome,"Roebuck MP, Broome",-18.084602,122.107676,,
HST,KLS1683,4013424,Broome,"Roebuck MP, Broome",-18.051164,122.111971,,
HST,KLS1684,4013425,Broome,"Roebuck MP, Broome",-18.041946,122.112841,,
HST,KLS1685,4013426,Broome,"Roebuck MP, Broome",-18.033068,122.11226,,
HST,KLS1686,4013427,Broome,"Roebuck MP, Broome",-18.029527,122.112769,,
HST,KLS1688,4013428,Broome,"Roebuck MP, Broome",-17.984754,122.11688,,
HST,KLS1689,4013429,Broome,"Roebuck MP, Broome",-17.966173,122.159376,,
HST,KLS1691,4013431,Broome,"Roebuck MP, Broome",-18.024182,122.128372,,
HST,J82337,2562260,North_QLD,Cooktown,-15.233333,145.35,,
HST,KLS0360,2562274,Ashmore,Hibernia Reef,-11.98183333,123.3382667,,
HST,KLS0362,2562256,Ashmore,Hibernia Reef,-11.98183333,123.3382667,,
HST,KLS0490,2892498,Broome,Broome,-17.98936667,122.0466833,,
HST,KLS0527,2892409,Broome,Broome,-18.00811667,122.14525,,
HST,KLS0528,2892531,Broome,Broome,-18.00811667,122.1534833,,
HST,KLS0559,2892377,Pilbara,Pilbara,-20.418,117.339,,
HST,KLS0566,2892525,Broome,Broome,-17.99583333,122.0370167,,
HST,KLS0573,2892480,Broome,Broome,-18.05545,122.214,,
HST,KLS0604,2892450,Broome,Broome,-18.086178,122.246535,Chose point outside Broome,
HST,KLS0634,2892478,Broome,Broome,-17.97333333,122.0916667,,
HST,KLS0635,2562180,Broome,Broome,-17.96666667,122.135,,
HST,KLS0636,2562216,Broome,Broome,-17.995,122.0833333,,
HST,KLS0660,2892454,Broome,Broome,-17.98,122.05,,
HST,KLS0675,2892455,Broome,Broome,-17.98833333,122.1,,
HST,KLS0677,2892491,Broome,Broome,-17.995,122.0833333,,
HST,KLS0678,2892468,Broome,Broome,-17.995,122.0833333,,
HST,KLS0679,2892438,Broome,Broome,-17.99666667,122.08,,
HST,KLS0680,2892474,Broome,Broome,-18.00333333,122.055,,
HST,KLS0681,2892443,Broome,Broome,-18.01166667,122.0316667,,
HST,KLS0682,2892504,Broome,Broome,-17.99166667,122.045,,
HST,KLS0686,2892505,Broome,Broome,-17.97166667,122.145,,
HST,KLS0687,2892451,Broome,Broome,-18.01,122.0433333,,
HST,KLS0794,2562199,Exmouth_Gulf,Exmouth Gulf,-22.05673333,114.2247833,,
HST,KLS0795,2892379,Exmouth_Gulf,Exmouth Gulf,-22.05981667,114.21905,,
HST,KLS0804,2892392,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0843,2892452,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0847,2892542,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0858,2892456,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0883,2892509,Exmouth_Gulf,Exmouth Gulf,-22.17635,114.0945833,,
HST,KLS0886,2892390,Exmouth_Gulf,Exmouth Gulf,-22.17415,114.0946833,,
HST,KLS0896,2892403,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0897,2892551,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0923,2892400,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0938,2892388,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,
HST,KLS0941,2892545,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf,Listed as major in tissue catalogue
HST,KLS0983,2892406,Exmouth_Gulf,Exmouth Gulf,-22.42596,114.19586,,
HST,KLS0986,2892407,Exmouth_Gulf,Exmouth Gulf,-22.42526,114.21091,,
HST,KLS1157,3593388,Broome,Broome,-17.98965,122.1112,,
HST,KLS1158,3593383,Broome,Broome,-17.99016667,122.1096667,,
HST,KLS1159,3593340,Broome,Broome,-18.03196667,122.0288,,
HST,KLS1173,2892444,Pilbara,Pilbara,-21.438166,114.827603,,
HST,KLS1182,2892449,Pilbara,Pilbara,-20.306949,115.369317,,
HST,KLS1200,2892434,Pilbara,Pilbara,-20.050212,118.288886,,
HST,KLS1204,3593361,Pilbara,Eighty Mile Beach,-19.660251,119.114632,,
HST,KLS1206,3593330,Pilbara,Eighty Mile Beach,-19.564533,119.2599,,
HST,KLS1227,2892412,Pilbara,Eighty Mile Beach,-18.812164,121.101665,,
HST,KLS1273,2892431,Exmouth_Gulf,Exmouth Gulf,-21.996483,114.1363,,
HST,KLS1274,2892410,Exmouth_Gulf,Exmouth Gulf,-21.933333,114.149183,,
HST,KLS1367,3593339,Broome,Dampier Peninsula,-17.046937,122.118755,,
HST,KLS1369,3593347,Broome,Dampier Peninsula,-17.019863,122.124829,,
HST,KLS1370,3593333,Broome,Dampier Peninsula,-17.01754,122.126665,,
HST,KLS1371,3593312,Broome,Dampier Peninsula,-17.007084,122.128973,,
HST,KLS1372,3593318,Broome,Dampier Peninsula,-16.882281,122.266438,,
HST,KLS1380,3593381,Broome,Dampier Peninsula,-15.652923,123.145085,,
HST,KLS1384,3593379,Broome,Dampier Peninsula,-16.094133,123.057184,,
HST,KLS1385,3593310,Broome,Dampier Peninsula,-16.112215,123.080703,,
HST,KLS1412,3593322,Broome,Dampier Peninsula,-16.50534,122.46036,,
HST,KLS1414,3593346,Broome,Dampier Peninsula,-16.56973,122.33425,,
HST,KLS1417,3593370,Broome,Dampier Peninsula,-16.97882,122.18803,,
HST,KLS1418,3593309,Broome,Dampier Peninsula,-16.97997,122.18222,,
HST,KLS1419,3593306,Broome,Dampier Peninsula,-16.98158,122.17605,,
HST,KLS1420,3593353,Broome,Dampier Peninsula,-16.987,122.1633,,
HST,KLS1422,3593399,Broome,Dampier Peninsula,-16.98841,122.15563,,
HST,KLS1424,3593329,Broome,Dampier Peninsula,-16.98912,122.13171,,
HST,KLS1429,3593311,Broome,Dampier Peninsula,-16.98254,122.17569,,
HST,KLS1515,3593385,Pilbara,Pilbara,-18.659855,119.561297,Took avg of sample collected before and after,
HST,KLS1517,3593355,Pilbara,Pilbara,-20.337169,116.946904,,
HST,KLS1528,3593321,Pilbara,Pilbara,-20.329011,117.171996,,
HST,KLS1541,3593313,Pilbara,Pilbara,-20.3166,117.19613,,
HST,KLS1544,3593344,Pilbara,Pilbara,-20.333191,117.165648,,
HST,KLS1556,3593324,Pilbara,Pilbara,-20.332429,117.289929,,
HST,MW04488,2562113,Gulf_of_Carpentaria,Weipa,-12.686,141.69,Just selected outside Weipa,
HST,SS170814-01,2562208,Pilbara,Pilbara,-20.85746,116.10578,,
HST,SS170820-02,2892469,Pilbara,Eighty Mile Beach,-19.74386,119.735535,,
HST,VU116,2892391,North_Kimberley,Heywood Shoal,-13.29063333,125.7573833,,
HST,VU127,2562116,Heywood_Shoal,Heywood Shoal,-13.48,124.06,Selected on google maps,
HST,VU135,2892457,Heywood_Shoal,Heywood Shoal,-13.4782,124.1045333,,
HST,VU141,2562238,Heywood_Shoal,Heywood Shoal,-13.435,124.0418,,
HST,VU143,2892418,Heywood_Shoal,Heywood Shoal,-13.45923333,124.0371833,,
HST,VU38,2892414,Broome,Dampier Peninsula,-16.67605,121.7777167,,
