Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,ShotDuration,Sex,Comments
DPIRD Fisheries survey,Trawl,KLS1696,2024-06-03,Aipysurus,foliosquama,Shark Bay,,,-25.256033,113.41115,-25.24705,113.4100415,-25.238067,113.408933,-25.322417,113.40115,20,F,
DPIRD Fisheries survey,Trawl,KLS1700,2024-06-05,Aipysurus,foliosquama,Shark Bay,,,-25.6328,113.164017,-25.623425,113.1631085,-25.61405,113.1622,-25.646217,113.13885,20,M,
DPIRD Fisheries survey,Trawl,KLS1701,2024-06-05,Aipysurus,foliosquama,Shark Bay,,,-25.6328,113.164017,-25.623425,113.1631085,-25.61405,113.1622,,,20,F,specimen kept
DPIRD Fisheries survey,Trawl,KLS1702,2024-06-05,Aipysurus,foliosquama,Shark Bay,,,-25.607917,113.21225,-25.5985585,113.2126165,-25.5892,113.212983,-25.58395,113.223033,20,F,
DPIRD Fisheries survey,Trawl,KLS1707,2024-06-06,Aipysurus,foliosquama,Shark Bay,,,-25.029717,113.336333,-25.020975,113.336883,-25.012233,113.337433,-24.985317,113.2881,20,F,
DPIRD Fisheries survey,Trawl,KLS1708,2024-06-07,Aipysurus,foliosquama,Shark Bay,,,-24.916983,113.2714,-24.926183,113.2711835,-24.935383,113.270967,-24.964983,113.222533,20,M,
DPIRD Fisheries survey,Trawl,KLS1710,2024-06-07,Aipysurus,foliosquama,Shark Bay,,,-24.971,113.19275,-24.9617915,113.19455,-24.952583,113.19635,-24.90825,113.222133,20,F,
DPIRD Fisheries survey,Trawl,KLS1723,2024-09-25,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.065367,114.320033,-22.004825,114.357258,-21.944283,114.394483,,,150,F,
DPIRD Fisheries survey,Trawl,KLS1815,2024-11-22,Aipysurus,foliosquama,Shark Bay,,,-25.444467,113.587767,-25.4530085,113.5916085,-25.46155,113.59545,,,20,?,
DPIRD Fisheries survey,Trawl,KLS1823,2024-11-27,Aipysurus,foliosquama,Shark Bay,,,-25.705267,113.149933,-25.6964835,113.1516415,-25.6877,113.15335,,,20,F,
DPIRD Fisheries survey,Trawl,KLS1826,2024-11-29,Aipysurus,foliosquama,Shark Bay,,,-25.581383,113.22295,-25.57255,113.2212835,-25.563717,113.219617,,,20,F,
DPIRD Fisheries survey,Trawl,KLS1827,2024-11-29,Aipysurus,foliosquama,Shark Bay,,,-25.486567,113.408633,-25.4787335,113.4141415,-25.4709,113.41965,,,20,?,
DPIRD Fisheries survey,Trawl,KLS1828,2024-11-29,Aipysurus,foliosquama,Shark Bay,,,-25.4,113.41055,-25.39095,113.4123665,-25.3819,113.414183,,,20,F,
DPIRD Fisheries survey,Trawl,KLS1830,2024-11-30,Aipysurus,foliosquama,Shark Bay,,,-25.400933,113.4386,-25.391633,113.439475,-25.382333,113.44035,,,20,F,
DPIRD Fisheries survey,Trawl,KLS1831,2024-11-30,Aipysurus,foliosquama,Shark Bay,,,-25.25825,113.44945,-25.2487085,113.449675,-25.239167,113.4499,-25.261333,113.415983,20,F,
DPIRD Fisheries survey,Trawl,KLS1835,2024-12-02,Aipysurus,foliosquama,Shark Bay,,,-24.940033,113.297383,-24.930208,113.29775,-24.920383,113.298117,,,20,?,
DPIRD Fisheries survey,Trawl,KLS1836,2024-12-03,Aipysurus,foliosquama,Shark Bay,,,-24.935767,113.27105,-24.9264085,113.27085,-24.91705,113.27065,-24.889717,113.275633,20,F,
DPIRD Fisheries survey,Trawl,KLS1837,2024-12-03,Aipysurus,foliosquama,Shark Bay,-24.931383,113.249217,,,,,,,,,20,M,specimen kept
DPIRD Fisheries survey,Trawl,KLS1838,2024-12-03,Aipysurus,foliosquama,Shark Bay,,,-24.97225,113.194067,-24.96325,113.1951585,-24.95425,113.19625,,,20,F,
DPIRD Fisheries survey,Trawl,KLS1840,2024-12-03,Aipysurus,foliosquama,Shark Bay,,,-24.807417,113.2361,-24.797667,113.2356,-24.787917,113.2351,-24.795583,113.272133,20,F,
DPIRD Fisheries survey,Trawl,KLS1841,2024-12-04,Aipysurus,foliosquama,Shark Bay,,,-24.33155,113.365,-24.5719,113.36405,-24.81225,113.3631,-24.78485,113.35375,20,F,
trawled_seasnakes,Trawl,SS141019-01,2014-10-19,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.08078333,114.28195,-22.11539167,114.2476417,-22.15,114.2133333,,,120,,
trawled_seasnakes,Trawl,SS150327-01,2015-03-27,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.23566667,114.2819333,-22.20856667,114.2821333,-22.18146667,114.2823333,,,60,,
trawled_seasnakes,Trawl,SS150327-02,2015-03-27,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.23566667,114.2819333,-22.20856667,114.2821333,-22.18146667,114.2823333,,,60,,
trawled_seasnakes,Trawl,SS150511-02,2015-05-11,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.2354,114.2826833,-22.2087,114.2821417,-22.182,114.2816,,,60,,
trawled_seasnakes,Trawl,SS150512-02,2015-05-12,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.15153333,114.2752,-22.11555833,114.3054167,-22.07958333,114.3356333,,,90,,
trawled_seasnakes,Trawl,SS150906-01,2015-09-06,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.05786667,114.3247167,-22.03208333,114.348975,-22.0063,114.3732333,,,60,,
