species,id,targetid,pop,locality,latitude,longitude,notes
ALA,AL403,3991434,Ashmore,Ashmore East,-12.14553,123.09423,
ALA,AL404,3991435,Ashmore,Ashmore East,-12.12733028,123.0879347,average of other ashmore east coords
ALA,AL405,3991436,Ashmore,Ashmore East,-12.11078,123.06598,
ALA,AL406,3991437,Ashmore,Ashmore East,-12.12285,123.08552,
ALA,AL407,3991438,Ashmore,Ashmore East,-12.12002,123.08481,
ALA,AL408,3991439,Ashmore,Ashmore East,-12.12525,123.08774,
ALA,AL409,3991440,Ashmore,Ashmore East,-12.12818,123.08854,
ALA,AL410,3991441,Ashmore,Ashmore East,-12.12818,123.08842,
ALA,AL411,3991442,Ashmore,Ashmore East,-12.12073,123.08972,
ALA,AL412,3991443,Ashmore,Ashmore East,-12.12073,123.08972,
ALA,AL413,3991444,Ashmore,Ashmore East,-12.12073,123.08972,
ALA,AL414,3991445,Ashmore,Ashmore East,-12.13054,123.08975,
ALA,AL415,3991446,Ashmore,Ashmore East,-12.1333,123.09063,
ALA,AL416,3991447,Ashmore,Ashmore East,-12.14044,123.09283,
ALA,AL417,3991448,Ashmore,Ashmore East,-12.1312,123.09091,
ALA,AL418,3991449,Ashmore,Ashmore East,-12.14542,123.09463,
ALA,AL419,3991450,Ashmore,Ashmore East,-12.14782,123.09484,
ALA,AL420,3991451,Ashmore,Ashmore East,-12.12251,123.08606,
ALA,AL422,3991452,Ashmore,Ashmore East,-12.12251,123.08606,
ALA,AL423,3991453,Ashmore,Ashmore East,-12.12251,123.08606,
ALA,AL424,4013486,Ashmore,Ashmore East,-12.12251,123.08606,
ALA,AL425,3991454,Ashmore,Ashmore East,-12.12251,123.08606,
ALA,AL426,3991455,Ashmore,Ashmore East,-12.12915,123.08915,
ALA,AL427,3991456,Ashmore,Ashmore East,-12.13033,123.08983,
ALA,AL429,3991457,Ashmore,Ashmore East,-12.13547,123.09116,
ALA,AL430,3991458,Ashmore,Ashmore East,-12.14052,123.09226,
ALA,AL431,3991459,Ashmore,Ashmore East,-12.14366,123.09448,
ALA,AL432,3991460,Ashmore,Ashmore East,-12.12155,123.08522,
ALA,AL433,3991461,Ashmore,Ashmore East,-12.11902,123.08522,
ALA,AL434,3991462,Ashmore,Ashmore East,-12.11703,123.08256,
ALA,AL435,3991463,Ashmore,Ashmore East,-12.12259,123.08646,
ALA,AL436,3991464,Ashmore,Ashmore East,-12.12259,123.08646,
ALA,AL437,3991465,Ashmore,Ashmore East,-12.12259,123.08646,
ALA,AL439,3991466,Ashmore,Ashmore East,-12.12259,123.08646,
ALA,AL440,3991467,Ashmore,Ashmore East,-12.12259,123.08646,
ALA,AL441,3991468,Ashmore,Ashmore East,-12.12259,123.08646,
ALA,AL442,3991469,Ashmore,Ashmore East,-12.12737,123.08872,
ALA,Al344,3991425,Ashmore,Ashmore Inner Mooring,-12.239767,122.984133,Approx. mooring location retrieved from AMP website
ALA,Al333,3991421,Ashmore,Ashmore Lagoon East,-12.232824,123.012916,Approx. location estimated from google maps and AMP website
ALA,Al336,3991422,Ashmore,Ashmore Lagoon East,-12.232824,123.012916,Approx. location estimated from google maps and AMP website
ALA,Al338,3991423,Ashmore,Ashmore Nth Wall,-12.1,123,Assumed same as 'Ashmore/Nth edge inner'
ALA,Al342,3991424,Ashmore,Ashmore Nth Wall,-12.1,123,Assumed same as 'Ashmore/Nth edge inner'
ALA,Al346,3991426,Ashmore,Ashmore Nth Wall,-12.1,123,Assumed same as 'Ashmore/Nth edge inner'
ALA,Al4,2562181,Ashmore,Ashmore Reef,-12.2,123,Selected middle of Ashmore on maps
ALA,Al278,3991288,Ashmore,Ashmore/Grotto,-12.15,123.05,
ALA,Al279,3991289,Ashmore,Ashmore/Grotto,-12.15,123.05,
ALA,Al303,3991309,Ashmore,Ashmore/Hook,-12.15,123.15,
ALA,Al304,3991310,Ashmore,Ashmore/Hook,-12.15,123.15,
ALA,Al305,3991311,Ashmore,Ashmore/Hook,-12.15,123.15,
ALA,Al306,3991312,Ashmore,Ashmore/Hook,-12.15,123.15,
ALA,Al307,3991313,Ashmore,Ashmore/Hook,-12.15,123.15,
ALA,Al308,3991314,Ashmore,Ashmore/Hook,-12.15,123.15,
ALA,Al318,3991315,Ashmore,Ashmore/Nth edge east,-12.1,123.1,Selected on maps
ALA,Al319,3991316,Ashmore,Ashmore/Nth edge east,-12.1,123.1,Selected on maps
ALA,Al320,3991317,Ashmore,Ashmore/Nth edge east,-12.1,123.1,Selected on maps
ALA,Al321,3991414,Ashmore,Ashmore/Nth edge east,-12.1,123.1,Selected on maps
ALA,Al324,3991415,Ashmore,Ashmore/Nth edge east,-12.1,123.1,Selected on maps
ALA,Al325,3991416,Ashmore,Ashmore/Nth edge east,-12.1,123.1,Selected on maps
ALA,Al274,3991285,Ashmore,Ashmore/Nth edge inner,-12.1,123,
ALA,Al275,3991286,Ashmore,Ashmore/Nth edge inner,-12.1,123,
ALA,Al277,3991287,Ashmore,Ashmore/Nth edge inner,-12.1,123,
ALA,Al280,3991290,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al281,3991291,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al282,3991292,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al283,3991293,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al285,3991294,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al286,3991295,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al287,3991296,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al288,3991297,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al290,3991298,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al291,3991299,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al292,3991300,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al293,3991301,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al295,3991302,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al296,3991303,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al297,3991304,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al299,3991305,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al300,3991306,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al301,3991307,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al302,3991308,Ashmore,Ashmore/Nth edge outer,-12.1,123,
ALA,Al272,3991284,Ashmore,Ashmore/Sth edge outer,-12.2,123.1,
ALA,AL401,3991432,Ashmore,Broome,-17.96,122.23,
ALA,KLS1140,2892558,Broome,Broome,-18.06773333,122.0935667,
ALA,KLS1161,2892441,Broome,Broome,-17.96775,121.8893333,
ALA,KLS1162,2892512,Broome,Broome,-17.91591667,121.6570333,
ALA,KLS1163,2892427,Broome,Broome,-17.91591667,121.6570333,
ALA,KLS1165,2892485,Broome,Broome,-18.00228333,121.92145,
ALA,KLS1166,2892541,Broome,Broome,-17.9976,121.9227667,
ALA,KLS1167,2892484,Broome,Broome,-17.98095,121.9700667,
ALA,KLS1168,2892413,Broome,Broome,-17.98226667,121.9811333,
ALA,KLS1169,2892448,Broome,Broome,-17.98166667,121.9866667,
ALA,KLS1170,2892511,Broome,Broome,-17.98308333,121.9961333,
ALA,AL402,3991433,Ashmore,Cartier Islet,-12.31454,123.3249,
ALA,Al326,3991417,Ashmore,Cartier Islet/Nth backreef,-12.54,123.56,
ALA,Al327,3991418,Ashmore,Cartier Islet/Nth backreef,-12.54,123.56,
ALA,Al329,3991419,Ashmore,Cartier Islet/Nth backreef,-12.54,123.56,
ALA,Al331,3991420,Ashmore,Cartier Islet/Nth backreef,-12.54,123.56,
ALA,Al003,3991431,Ashmore,Cartier/Ashmore Reef,-12.4,123.4,Selected in between both reefs
ALA,KLS1366,3593364,Broome,Dampier Peninsula,-17.131305,122.095235,
ALA,KLS1373,3593328,Broome,Dampier Peninsula,-16.472057,122.681837,
ALA,KLS1387,3593387,Broome,Dampier Peninsula,-16.39226,122.94772,
ALA,KLS1413,3593365,Broome,Dampier Peninsula,-16.53376,122.38004,
ALA,KLS1415,3593359,Broome,Dampier Peninsula,-16.58201,122.31876,
ALA,VU15,2892510,Broome,Dampier Peninsula,-17.74055,122.1288833,
ALA,VU20,2892394,Broome,Dampier Peninsula,-17.64753333,122.0456833,
ALA,VU21,2892380,Broome,Dampier Peninsula,-17.64816667,122.0447167,
ALA,VU33,2892383,Broome,Dampier Peninsula,-17.6636,121.2675333,
ALA,VU37,2892482,Broome,Dampier Peninsula,-16.67605,121.7777167,
ALA,VU47,2892477,Broome,Dampier Peninsula,-17.03931667,122.0957833,
ALA,VU50,2892527,Broome,Dampier Peninsula,-17.01185833,122.0403,
ALA,SS170820-05,2892447,Pilbara,Eighty Mile Beach,-19.723,119.747375,
ALA,SS170822-01,2892494,Pilbara,Eighty Mile Beach,-19.75854,119.87187,
ALA,SS170822-02,2892495,Pilbara,Eighty Mile Beach,-19.79095,119.94598,
ALA,SS170822-03,2892528,Pilbara,Eighty Mile Beach,-19.78478,119.94202,
ALA,SS171011-03,2892496,Pilbara,Eighty Mile Beach,-18.7128665,121.0250295,
ALA,VU51,2892500,Pilbara,Eighty Mile Beach,-19.77450833,119.62525,
ALA,VU53,2892376,Pilbara,Eighty Mile Beach,-19.77451667,119.6136583,
ALA,VU62,2892417,Pilbara,Eighty Mile Beach,-19.37012833,119.7481083,
ALA,KLS0793,2892513,Exmouth_Gulf,Exmouth Gulf,-22.05561667,114.2231,
ALA,KLS0796,2892514,Exmouth_Gulf,Exmouth Gulf,-22.0616,114.21575,
ALA,KLS0797,2892471,Exmouth_Gulf,Exmouth Gulf,-22.06771667,114.2179833,
ALA,KLS0857,2892463,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf
ALA,KLS0871,2892523,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf
ALA,KLS0872,2892526,Exmouth_Gulf,Exmouth Gulf,-22.119522,114.282474,Just selected middle of gulf
