Source,SamplingMethod,SampleID,CollectionDate,Genus,Species,Location,Latitude,Longitude,StartLat,StartLong,MidLat,MidLong,EndLat,EndLong,ReleaseLat,ReleaseLong,Depth_m,ShotDuration_mins,Sex,Weight_g,SVL_cm,TailL_cm,PIT_tag,DArTseq,Notes
trawled_seasnakes.xlsx,Trawl,SS141019-01,2014/10/19,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.080783,114.281950,-22.115392,114.247642,-22.150000,114.213333,,,14.40,120,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150327-01,2015/03/27,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.235667,114.281933,-22.208567,114.282133,-22.181467,114.282333,,,9.90,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150327-02,2015/03/27,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.235667,114.281933,-22.208567,114.282133,-22.181467,114.282333,,,9.90,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150511-02,2015/05/11,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.235400,114.282683,-22.208700,114.282142,-22.182000,114.281600,,,9.90,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150512-02,2015/05/12,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.151533,114.275200,-22.115558,114.305417,-22.079583,114.335633,,,11.90,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS150906-01,2015/09/06,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.057867,114.324717,-22.032083,114.348975,-22.006300,114.373233,,,11.40,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS151005-01,2015/10/05,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.080467,114.290983,-22.110492,114.249600,-22.140517,114.208217,,,13.10,120,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS151007-01,2015/10/07,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.108900,114.231917,-22.125100,114.219642,-22.141300,114.207367,,,14.80,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160316-03,2016/03/16,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.233833,114.281517,-22.203300,114.281958,-22.172767,114.282400,,,9.80,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160317-01,2016/03/17,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.134000,114.171617,-22.132792,114.188733,-22.131583,114.205850,,,14.50,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160318-03,2016/03/18,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.059817,114.280583,-22.097758,114.251950,-22.135700,114.223317,,,15.20,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160330-02,2016/03/30,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.278333,114.160067,-22.278300,114.162967,-22.278267,114.165867,,,5.80,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160330-03,2016/03/30,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.264667,114.166650,-22.254558,114.194458,-22.244450,114.222267,,,5.70,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160330-04,2016/03/30,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.234683,114.282017,-22.206725,114.283300,-22.178767,114.284583,,,10.10,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160429-03,2016/04/29,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.216500,114.147650,-22.220042,114.159358,-22.223583,114.171067,,,10.00,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160430-03,2016/04/30,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.155717,114.274017,-22.127842,114.300525,-22.099967,114.327033,,,12.00,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160501-01,2016/05/01,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.067483,114.316533,-22.101233,114.315700,-22.134983,114.314867,,,11.00,90,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160601-02,2016/06/01,Aipysurus,apraefrontalis,Exmouth Gulf,,,-21.762150,114.363100,-21.785342,114.353558,-21.808533,114.344017,,,15.00,60,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160824-01,2016/08/24,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.053767,114.268067,-21.990042,114.311125,-21.926317,114.354183,,,15.50,150,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160923-01,2016/09/23,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.149400,114.251033,-22.125117,114.270542,-22.100833,114.290050,,,12.20,150,,,,,,,
trawled_seasnakes.xlsx,Trawl,SS160924-01,2016/09/24,Aipysurus,apraefrontalis,Exmouth Gulf,,,-22.226183,114.328517,-22.214708,114.320783,-22.203233,114.313050,,,7.80,30,,,,,,,
